pais_codigo,pais,ano,valor
BRA,Brazil,2025,2279920092492.13
BRA,Brazil,2024,2185821610689.31
BRA,Brazil,2023,2191131765684.63
BRA,Brazil,2022,1951923942083.32
BRA,Brazil,2021,1670647398904.9
BRA,Brazil,2020,1476107231310.49
BRA,Brazil,2019,1873288205059.69
BRA,Brazil,2018,1916933898010.99
BRA,Brazil,2017,2063514977365.65
BRA,Brazil,2016,1795693482853.01
BRA,Brazil,2015,1802212206814.5
BRA,Brazil,2014,2456043727198.85
BRA,Brazil,2013,2472819535557.21
BRA,Brazil,2012,2465227802806.76
BRA,Brazil,2011,2616156223917.69
BRA,Brazil,2010,2208837745100.55
BRA,Brazil,2009,1666996438581.43
BRA,Brazil,2008,1695855083497.52
BRA,Brazil,2007,1397114486368.67
BRA,Brazil,2006,1107626541434.92
BRA,Brazil,2005,891633839894.183
BRA,Brazil,2004,669289424806.307
BRA,Brazil,2003,558233745651.874
BRA,Brazil,2002,509795273806.715
BRA,Brazil,2001,559983634798.981
BRA,Brazil,2000,655448231983.527
BRA,Brazil,1999,599642024319.531
BRA,Brazil,1998,863710759256.435
BRA,Brazil,1997,883206179730.462
BRA,Brazil,1996,850426432991.742
BRA,Brazil,1995,769333050986.905
BRA,Brazil,1994,525369467295.737
BRA,Brazil,1993,368292034380.96
BRA,Brazil,1992,328191909882.232
BRA,Brazil,1991,342534090909.091
BRA,Brazil,1990,384959818181.817
BRA,Brazil,1989,412990820287.42
BRA,Brazil,1988,307881930752.268
BRA,Brazil,1987,283056836893.838
BRA,Brazil,1986,256480852471.129
BRA,Brazil,1985,210879844638.877
BRA,Brazil,1984,188339974086.58
BRA,Brazil,1983,189656506321.431
BRA,Brazil,1982,271314113768.417
BRA,Brazil,1981,258015174748.648
BRA,Brazil,1980,237393489892.637
BRA,Brazil,1979,221338204480.222
BRA,Brazil,1978,200278646123.581
BRA,Brazil,1977,176344101401.941
BRA,Brazil,1976,153168949208.207
CHN,China,2025,19498039388042.6
CHN,China,2024,18729668435848.0
CHN,China,2023,18270356654533.2
CHN,China,2022,18316765021690.2
CHN,China,2021,18201698719564.0
CHN,China,2020,14996414166715.1
CHN,China,2019,14560167101283.4
CHN,China,2018,14147765772963.8
CHN,China,2017,12537559062282.9
CHN,China,2016,11456024084962.0
CHN,China,2015,11280814787468.9
CHN,China,2014,10674533168257.4
CHN,China,2013,9743124247267.24
CHN,China,2012,8673664713189.24
CHN,China,2011,7671757207851.29
CHN,China,2010,6192564874453.29
CHN,China,2009,5189577094997.58
CHN,China,2008,4667346414521.95
CHN,China,2007,3604055822571.63
CHN,China,2006,2791498472804.33
CHN,China,2005,2317551298052.05
CHN,China,2004,1984196551300.44
CHN,China,2003,1683903309843.85
CHN,China,2002,1489821682050.54
CHN,China,2001,1355036590251.52
CHN,China,2000,1223754919971.05
CHN,China,1999,1103843203575.64
CHN,China,1998,1037134141760.35
CHN,China,1997,967753570434.667
CHN,China,1996,868523936530.083
CHN,China,1995,738190896227.55
CHN,China,1994,566929539493.172
CHN,China,1993,446557291212.148
CHN,China,1992,428502354788.069
CHN,China,1991,384510452961.672
CHN,China,1990,361560229445.507
CHN,China,1989,348380566801.619
CHN,China,1988,312888888888.889
CHN,China,1987,273455156950.673
CHN,China,1986,301310144927.536
CHN,China,1985,310064625850.34
CHN,China,1984,260442857142.857
CHN,China,1983,231130268199.234
CHN,China,1982,205480916030.534
CHN,China,1981,196218253968.254
CHN,China,1980,191487500000.0
CHN,China,1979,178573913043.478
CHN,China,1978,149788617886.179
CHN,China,1977,175226595859.778
CHN,China,1976,154196810058.643
DEU,Germany,2025,5050922925047.05
DEU,Germany,2024,4685592577804.69
DEU,Germany,2023,4562207532490.28
DEU,Germany,2022,4201021706478.62
DEU,Germany,2021,4355251953410.78
DEU,Germany,2020,3941398957073.94
DEU,Germany,2019,3959894794039.21
DEU,Germany,2018,4055433215301.96
DEU,Germany,2017,3765351626105.89
DEU,Germany,2016,3536787895179.0
DEU,Germany,2015,3425099578746.09
DEU,Germany,2014,3964870735760.77
DEU,Germany,2013,3807023797050.99
DEU,Germany,2012,3596483233406.25
DEU,Germany,2011,3823575803793.78
DEU,Germany,2010,3467093769666.67
DEU,Germany,2009,3478545516683.59
DEU,Germany,2008,3808197720125.0
DEU,Germany,2007,3484056680854.91
DEU,Germany,2006,3046308753670.58
DEU,Germany,2005,2893393187361.87
DEU,Germany,2004,2852317768061.78
DEU,Germany,2003,2534715518349.01
DEU,Germany,2002,2102350798305.89
DEU,Germany,2001,1966381496641.73
DEU,Germany,2000,1966980701145.1
DEU,Germany,1999,2213873468586.88
DEU,Germany,1998,2247760364565.97
DEU,Germany,1997,2218790886532.82
DEU,Germany,1996,2506576553158.31
DEU,Germany,1995,2593053091306.13
DEU,Germany,1994,2215282632276.73
DEU,Germany,1993,2078954217437.6
DEU,Germany,1992,2141377582968.07
DEU,Germany,1991,1875792575132.59
DEU,Germany,1990,1778162195860.07
DEU,Germany,1989,1404092925205.45
DEU,Germany,1988,1406367016371.53
DEU,Germany,1987,1302932318824.81
DEU,Germany,1986,1050092624515.9
DEU,Germany,1985,735218723093.277
DEU,Germany,1984,727767760978.627
DEU,Germany,1983,773507930294.906
DEU,Germany,1982,779421633755.138
DEU,Germany,1981,803404797057.551
DEU,Germany,1980,953772499462.019
DEU,Germany,1979,884574218333.155
DEU,Germany,1978,743182891918.208
DEU,Germany,1977,602698323085.993
DEU,Germany,1976,521658712132.981
FRA,France,2025,3366315927447.33
FRA,France,2024,3160442622465.08
FRA,France,2023,3056250648138.29
FRA,France,2022,2794788137066.94
FRA,France,2021,2966433692008.09
FRA,France,2020,2647926055110.05
FRA,France,2019,2722793515171.76
FRA,France,2018,2781576320884.39
FRA,France,2017,2588868323334.71
FRA,France,2016,2470407619777.13
FRA,France,2015,2442483452642.5
FRA,France,2014,2861236112552.42
FRA,France,2013,2816077607875.26
FRA,France,2012,2683007095787.23
FRA,France,2011,2870408553990.28
FRA,France,2010,2646230027988.34
FRA,France,2009,2700075882518.98
FRA,France,2008,2926802941585.86
FRA,France,2007,2655816911866.56
FRA,France,2006,2317861544690.82
FRA,France,2005,2192146403028.17
FRA,France,2004,2109792297237.03
FRA,France,2003,1835095983049.09
FRA,France,2002,1492427756382.43
FRA,France,2001,1370376677298.86
FRA,France,2000,1360959069477.49
FRA,France,1999,1486915879701.93
FRA,France,1998,1496906382032.47
FRA,France,1997,1449392222971.45
FRA,France,1996,1598889216566.23
FRA,France,1995,1595219345511.89
FRA,France,1994,1385822778827.98
FRA,France,1993,1314383368079.69
FRA,France,1992,1389663073110.28
FRA,France,1991,1258961748633.88
FRA,France,1990,1257649439826.53
FRA,France,1989,1016742237302.08
FRA,France,1988,1010827662151.75
FRA,France,1987,926320855614.973
FRA,France,1986,764946585850.933
FRA,France,1985,547220981165.134
FRA,France,1984,525033325827.516
FRA,France,1983,553356312935.709
FRA,France,1982,578152310609.841
FRA,France,1981,609184791792.396
